table	category	scope_source	tenant_id	workspace_id	parent_derived	read_write_paths	worker_path	rls_required	policy_shape	test	reason
tenant_management.membership_role_definition	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/persistence/JdbcAccessPolicyAdapter.java;src/main/java/com/nexa/api/bootstrap/local/LocalDevelopmentBootstrap.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcMembershipRolePersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationActivationAdapter.java;src/main/java/com/nexa/api/bootstrap/runtime/SystemWorkflowActorBootstrap.java;src/main/java/com/nexa/api/fulfillmentdelivery/infrastructure/persistence/DispatchQueryPersistenceAdapter.java;src/main/java/com/nexa/api/fulfillmentdelivery/infrastructure/persistence/DispatchCommandPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/events/JdbcTenantEventContextQueryAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcInvitationPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcRoleDefinitionPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcAuthorizationResolutionAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jpa/JpaVerifiedMembershipResolutionAdapter.java	SystemWorkflowActorBootstrap and LocalDevelopmentBootstrap set the workspace scope before writes; invitation acceptance resolves token scope before role assignment.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	membership_role_definition stores direct Tenant/Workspace control state and is accessed by tenant administration/identity paths; the row scope is enforced in PostgreSQL in addition to application authorization.
tenant_management.organization_invitation	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcInvitationPersistenceAdapter.java	expirePending round-robins workspaces and sets scope for bounded claim/update; accept resolves one pending bearer token then switches to row scope in the same transaction.	yes	direct scope USING+WITH CHECK plus pending-token SELECT policy for pre-context acceptance	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	Invitation rows have direct Tenant/Workspace keys. The token exception is a SELECT-only, pending-only lookup by the opaque token hash; mutation uses the resolved row scope. Expiry stays bounded, cross-workspace and scope-aware.
tenant_management.organization_registration	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationActivationAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationRegistrationPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationRegistrationDraftAdapter.java	No background worker; public drafts/status use row ID+opaque token hash and activate/reject uses one authorized operator row.	yes	scope USING+WITH CHECK plus row-ID/token and authorized-operator exceptions; pre-context INSERT stays unscoped	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	Public registration has optional Tenant/Workspace columns and legitimate unscoped draft/submission states. Token access is row-ID+hash; operator access is one authorized registration ID; token-mode writes remain unscoped.
tenant_management.role_definition	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/bootstrap/local/LocalDevelopmentBootstrap.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/persistence/JdbcAccessPolicyAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcMembershipRolePersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/events/JdbcTenantEventContextQueryAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcInvitationPersistenceAdapter.java;src/main/java/com/nexa/api/fulfillmentdelivery/infrastructure/persistence/DispatchQueryPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcRoleDefinitionPersistenceAdapter.java;src/main/java/com/nexa/api/fulfillmentdelivery/infrastructure/persistence/DispatchCommandPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcAuthorizationResolutionAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jpa/JpaVerifiedMembershipResolutionAdapter.java	No cross-scope worker path found; authorization reads global reserved/templates and scoped custom definitions.	yes	global NULL/NULL SYSTEM_RESERVED/TEMPLATE SELECT; custom rows require matching Tenant and either NULL Workspace or matching current Workspace for read/write	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	Global system role templates stay read-only. Existing custom-role callers support Tenant-wide definitions with NULL workspace_id and Workspace-specific definitions; both require the matching Tenant, and Workspace-specific rows additionally require the current Workspace.
tenant_management.workspace_creation_idempotency	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java	No cross-scope worker path found; request-scoped tenant administration.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	workspace_creation_idempotency stores direct Tenant/Workspace control state and is accessed by tenant administration/identity paths; the row scope is enforced in PostgreSQL in addition to application authorization.
tenant_management.organization_invitation_idempotency	FORCED_RLS_DIRECT_SCOPE	Own tenant_id; the request key is unique Tenant-wide and is read/written by the authenticated invitation creation path.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcInvitationPersistenceAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/application/service/OrganizationInvitationService.java	No cross-scope worker path.	yes	tenant_id USING+WITH CHECK	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	Tenant-wide idempotency rows are read only after the request is authorized for that Tenant; a missing or different Tenant setting hides the key and payload hash.
tenant_management.organization_settings	FORCED_RLS_DIRECT_SCOPE	Own tenant_id; organization profile is shared across workspaces belonging to one Tenant.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java;src/main/java/com/nexa/api/businessdocuments/infrastructure/subject/JdbcDocumentProjectionLookupAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationActivationAdapter.java	No cross-scope worker path.	yes	tenant_id USING+WITH CHECK	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	Current profile, business-document projection, and registration-activation callers identify the row by the resolved Tenant.
tenant_management.reference_plan_assignment	FORCED_RLS_DIRECT_SCOPE	Own tenant_id; plan assignment and usage are Tenant-wide.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java	No cross-scope worker path.	yes	tenant_id USING+WITH CHECK	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	Plan read/update/usage paths are Tenant-scoped; the current authenticated Tenant setting is the row key.
tenant_management.regional_settings	FORCED_RLS_DIRECT_SCOPE	Own tenant_id; regional configuration is Tenant-wide.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java;src/main/java/com/nexa/api/businessdocuments/infrastructure/subject/JdbcDocumentProjectionLookupAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java	No cross-scope worker path.	yes	tenant_id USING+WITH CHECK	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	Configuration, pricing, and document-projection callers resolve the Tenant before reading regional defaults.
tenant_management.tenant	FORCED_RLS_DIRECT_SCOPE	The primary key id is the Tenant scope identity; pre-context reads are linked only through a visible workspace, or one configured local bootstrap slug.	no	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java;src/main/java/com/nexa/api/businessdocuments/infrastructure/subject/JdbcDocumentProjectionLookupAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationActivationAdapter.java;src/main/java/com/nexa/api/bootstrap/local/LocalDevelopmentBootstrap.java	Identity-first sign-in and workspace preview resolve only a visible workspace; registration activation writes under the generated Tenant id.	yes	id=current_tenant_id USING+WITH CHECK; SELECT additionally requires a visible workspace or exact bootstrap slug	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	Tenant root rows are not global configuration: the row id is its direct Tenant identity. The bootstrap and pre-context read paths are explicit and bounded.
tenant_management.tenant_security_settings	FORCED_RLS_DIRECT_SCOPE	Own tenant_id; existing tenant-security settings and invitation acceptance are Tenant-wide.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/application/service/OrganizationInvitationService.java	Invitation acceptance resolves an invitation token then installs the invitation Tenant before reading settings.	yes	tenant_id USING+WITH CHECK	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	Settings lookup/update and invitation policy checks use the persisted Tenant from the request or locked invitation row.
tenant_management.unit_preferences	FORCED_RLS_DIRECT_SCOPE	Own tenant_id; unit defaults are Tenant-wide.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java	No cross-scope worker path.	yes	tenant_id USING+WITH CHECK	RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths	The existing configuration adapter operates on a Tenant id established by CurrentAccessContext.
tenant_management.workspace	FORCED_RLS_DIRECT_SCOPE	Direct tenant_id plus workspace primary key id; workspace is the Tenant-owned identity row used to resolve an access context.	yes	no	no	src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/persistence/JdbcAccessPolicyAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/persistence/JdbcWorkspacePreviewQueryAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java;src/main/java/com/nexa/api/bootstrap/local/LocalDevelopmentBootstrap.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationActivationAdapter.java	Tenant administration lists sibling Workspaces; local/bootstrap and startup workers enumerate Workspace rows through the explicit transaction-local scan GUC, then set scope per Workspace. Identity-first sign-in/context-list binds trusted app.access_context_user_id before discovery.	yes	Tenant_id USING+WITH CHECK; SELECT additionally requires exact login/preview slug, exact membership ID plus user ID, authenticated user membership, or explicit scan GUC.	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.tenantOnlyConfigurationAndTenantWorkspaceIdentityRowsUseTheirExistingScopePaths; RlsRuntimeDatabaseIsolationIT.accessContextDiscoveryIsBoundToTrustedIdentityAndClearedAcrossTransactions	Workspace identity is directly owned by one Tenant. Tenant administrators intentionally list sibling Workspace identities; pre-context discovery is bounded to authenticated-user memberships after credentials or ticket validation; role assignments are read under the candidate Tenant/Workspace; enumeration is restricted to named startup/maintenance paths.
